==PROF== Connected to process 24103 (/home/wzy/cuda-code/cutlass/examples/00_self_gemm/self_gemm_template.out)
Detected GPU: Tesla V100-PCIE-32GB (SM 7.0)
Running warm-up...
Cutlass GEMM time: 1651.14 ms
Cutlass GEMM Performance: 10404.8 GFLOPS
Cublas GEMM time: 976.695 ms
Cublas GEMM Performance: 17589.8 GFLOPS
All results match within tolerance (abs=0.001, rel=0.01)
Passed.
==PROF== Disconnected from process 24103
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","24103","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","7.0","Command line profiler metrics","dram__bytes.sum","byte","837,859,712"
"0","24103","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","7.0","Command line profiler metrics","l1tex__t_bytes.sum","byte","838,860,800"
"0","24103","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","7.0","Command line profiler metrics","lts__t_bytes.sum","byte","839,173,280"
"0","24103","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","7.0","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","3,530,235.80"
"0","24103","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","7.0","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","1,235,108,248.43"
"0","24103","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","7.0","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","0"
"0","24103","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","7.0","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"0","24103","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","7.0","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0"
"0","24103","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","7.0","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0"
"0","24103","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","7.0","Command line profiler metrics","sm__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0"
"0","24103","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","7.0","Command line profiler metrics","sm__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"0","24103","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","7.0","Command line profiler metrics","sm__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0"
"0","24103","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","7.0","Command line profiler metrics","sm__sass_thread_inst_executed_op_hadd_pred_on.sum","inst","0"
